,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges full
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges full
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges full
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,full
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,slow
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,slow
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,slow
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges full
0,45,45.0,117.0,8.156659198001439e+17,M25 clockwise between J8 and J9 | Clockwise | Accident,2017-01-01T21:08:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0,conges full
