,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,work
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,work
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,work
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,conges full
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,conges full
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,conges
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,full accident
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,accident
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,accident
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,accident
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,accident
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,accident
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,accident
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,conges
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,conges full
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,conges full
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,work
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,queu
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,conges full
0,40,40.0,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0,conges full
