,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,conges
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,broken down full
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,broken down full
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,broken down
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,broken down clos
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,broken down
0,20,20.0,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,broken down
