,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,accident
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,collision stop block
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,collision stop block
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,accident
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,collision stop block
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,full accident
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,full accident
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,clos block
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,clos block
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,clos block
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,collision clos officer
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,collision clos officer
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,repair clos barrier damage
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,repair clos barrier damage
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,clos damage
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,accident
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
0,41,41.0,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0,work
