,10,10,10,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified,cause
0,2174,2184.0,3802.0,8.208836780626616e+17,#M25 - MINOR - Surrey Clockwise - Congestion - Between Clacket Lane Services Surrey and J8 for A217 Reigate,2017-01-16T06:41:34.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
0,2220,2230.0,3872.0,8.209180138976215e+17,"#M25 easing clockwise between Clacket Lane Services and J8, Reigate",2017-01-16T08:58:01.000Z,387584807.0,Radio Jackie Travel,Tweeting you information on the roads and rails between 7am and 9pm. For the very latest info please stay tuned to 107.8 Radio Jackie on the air and online,6087.0,0.0,
0,2705,2715.0,4646.0,8.216106196485366e+17,#M25 - MINOR - Surrey Clockwise - Congestion - Between Clacket Lane Services Surrey and J8 for A217 Reigate,2017-01-18T06:50:11.000Z,8.11607645018792e+17,UK Motorways Traffic,This is traffic updates of all motorways in the uk 🇬🇧! I'm available every day between 6:30AM - 20:00PM on weekdays and weekends 7AM to 19PM,568.0,0.0,conges
